repo,latest_version,pre_release_tag
device-camera-go,1.1.2-dev.1,v1.0.1-dev.1
performance-test,,
app-functions-sdk-go,1.2.1-dev.6,v1.1.1-dev.4
app-functions-sdk-go,1.2.1-dev.6,v1.1.1-dev.3
app-functions-sdk-go,1.2.1-dev.6,v1.1.1-dev.2
app-functions-sdk-go,1.2.1-dev.6,v1.1.1-dev.1
app-functions-sdk-go,1.2.1-dev.6,v1.0.1-dev.48
app-functions-sdk-go,1.2.1-dev.6,v1.0.1-dev.47
app-functions-sdk-go,1.2.1-dev.6,v1.0.1-dev.46
app-functions-sdk-go,1.2.1-dev.6,v1.0.1-dev.45
app-functions-sdk-go,1.2.1-dev.6,v1.0.1-dev.44
app-functions-sdk-go,1.2.1-dev.6,v1.0.1-dev.43
app-functions-sdk-go,1.2.1-dev.6,v1.0.1-dev.42
app-functions-sdk-go,1.2.1-dev.6,v1.0.1-dev.41
app-functions-sdk-go,1.2.1-dev.6,v1.0.1-dev.40
app-functions-sdk-go,1.2.1-dev.6,v1.0.1-dev.39
app-functions-sdk-go,1.2.1-dev.6,v1.0.1-dev.38
app-functions-sdk-go,1.2.1-dev.6,v1.0.1-dev.37
app-functions-sdk-go,1.2.1-dev.6,v1.0.1-dev.36
app-functions-sdk-go,1.2.1-dev.6,v1.0.1-dev.35
app-functions-sdk-go,1.2.1-dev.6,v1.0.1-dev.34
app-functions-sdk-go,1.2.1-dev.6,v1.0.1-dev.33
app-functions-sdk-go,1.2.1-dev.6,v1.0.1-dev.32
app-functions-sdk-go,1.2.1-dev.6,v1.0.1-dev.31
app-functions-sdk-go,1.2.1-dev.6,v1.0.1-dev.30
app-functions-sdk-go,1.2.1-dev.6,v1.0.1-dev.29
app-functions-sdk-go,1.2.1-dev.6,v1.0.1-dev.28
app-functions-sdk-go,1.2.1-dev.6,v1.0.1-dev.27
app-functions-sdk-go,1.2.1-dev.6,v1.0.1-dev.26
app-functions-sdk-go,1.2.1-dev.6,v1.0.1-dev.25
app-functions-sdk-go,1.2.1-dev.6,v1.0.1-dev.24
app-functions-sdk-go,1.2.1-dev.6,v1.0.1-dev.23
app-functions-sdk-go,1.2.1-dev.6,v1.0.1-dev.22
app-functions-sdk-go,1.2.1-dev.6,v1.0.1-dev.21
app-functions-sdk-go,1.2.1-dev.6,v1.0.1-dev.20
app-functions-sdk-go,1.2.1-dev.6,v1.0.1-dev.19
app-functions-sdk-go,1.2.1-dev.6,v1.0.1-dev.18
app-functions-sdk-go,1.2.1-dev.6,v1.0.1-dev.17
